University,Program,Co-op(TrueorFalse),Pr1,Pr2,Pr3,Pr4,Pr5,Minaverage,Maxaverage,Extracurrciulars,Budget,Residence(TrueorFalse),X-Coordinate,Y-Coordinate,Competitiveness,Link
Queens,EngineeringPhysics,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,FALSE,13160.84,TRUE,76.5,44.22,6,https://www.queensu.ca/physics/,
Queens,GeologicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,FALSE,13160.84,TRUE,76.5,44.22,6,https://www.queensu.ca/geol/,
Queens,MiningEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,FALSE,9390.97,TRUE,76.5,44.22,6,https://mine.queensu.ca/,
Guelph,BiomedicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,92,TRUE,12271.26,TRUE,80.25,43.54,2,https://www.uoguelph.ca/engineering/biomedical-engineering-program-guide,
Guelph,ComputerEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,92,TRUE,12271.26,TRUE,80.25,43.54,2,https://www.uoguelph.ca/engineering/computer-engineering-program-guide,
Guelph,SoftwareEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,90,TRUE,9365.88,TRUE,80.25,43.54,2,https://admission.uoguelph.ca/bcomp/se,
Guelph,EnvironmentalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,90,TRUE,10229.10,TRUE,80.25,43.54,2,https://www.uoguelph.ca/engineering/environmental-engineering-program-guide,
Guelph,EngineeringSystems,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,90,TRUE,10229.10,TRUE,80.25,43.54,2,https://admission.uoguelph.ca/beng/esc,
Guelph,BiologicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,92,TRUE,10229.10,TRUE,80.25,43.54,2,https://www.uoguelph.ca/engineering/biological-engineering-program-guide,
Guelph,MechanicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,90,TRUE,12271.26,TRUE,80.25,43.54,2,https://www.uoguelph.ca/engineering/mechanical-engineering-program-guide,
Guelph,WaterResourcesEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,90,TRUE,10229.10,TRUE,80.25,43.54,2,https://www.uoguelph.ca/engineering/water-resource-engineering-program-guide,
Ryerson,ChemicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,85,TRUE,11140.47,TRUE,79.38,43.54,1,https://www.ryerson.ca/graduate/programs/chemical-engineering/,
Ryerson,BiomedicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,90,TRUE,11140.47,TRUE,79.38,43.66,1,https://www.ryerson.ca/programs/undergraduate/biomedical-engineering/,
Ryerson,IndustrialEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,85,TRUE,11140.47,TRUE,79.38,43.66,1,https://www.ryerson.ca/programs/undergraduate/industrial-engineering/,
Ryerson,CivilEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,85,TRUE,11140.47,TRUE,79.38,43.66,1,https://www.ryerson.ca/graduate/programs/civil-engineering/,
Ryerson,ComputerEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,90,TRUE,11140.47,TRUE,79.38,43.66,1,https://www.ryerson.ca/programs/undergraduate/computer-engineering/,
Ryerson,ElectricalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,85,TRUE,11140.47,TRUE,79.38,43.66,1,https://www.ryerson.ca/programs/undergraduate/electrical-engineering/,
